name,abv,desc,style_name
Chico King - Beer Camp Across America,6.5,"3 Floyds has a reputation as the Midwestern kings of alpha (hops), and it seems that one of our beers helped to lure them down the lupulin-paved path. Chico King is a mash-up of our mutual passion for hoppy pale ales and combines a uniquely robust malt body with intense citrusy and fruity new school hop varietals.

3 Floyds marches to the beat of their own (double kick) drum when it comes to collaboration, often partnering with comic book artists, tattoo parlors or heavy metal bands when inspiration strikes. These eclectic beers are coveted throughout the Midwest and some beers, like the legendary Dark Lord Imperial Stout, have spawned something akin to a beer-themed holiday in the brewery’s hometown of Muenster, IN.",American Pale
Chocolate Chili Stout - High Altitude Series,8.8,"By their very nature, imperial stouts are bold beers. This version takes another step toward the dark side with the use of spicy and aromatic dried chilies and rich cocoa nibs for a complex and intense kick. It features notes of coffee, baker’s cocoa, and dark fruit and a slight twinge of heat.",American Imperial Stout
Choice Make Good,8.3,"This Double IPA was brewed with Amarillo, Centennial, 007, Nelson Sauvin, Azacca, and Citra Hops. Additionally, we dry-hopped in the fermenter with a blend of Nelson Sauvin and Citra. Make good choices.",Imperial IPA
Christmas Chub,8.0,Brewed with orange peel and Colorado spruce.,Spice Beer
CitruSinensis,7.9,"We took some fresh Sanguinello Blood oranges, juiced 'em, concentrated that juice (without heat) and threw it into a wheatier version of our New Dogtown Pale Ale. The end result? A refreshingly hopped pale-ish ale with a huge citrus burst!",American Pale
Coffee Stout,6.2,"A cup of joe and a bold beer can thwart the winter cold, so we blended them for the ultimate warmer. Our Coffee Stout is a fusion of dark roasted malts and rich, cold-brewed coffee for layers of bittersweet, fruity, dark chocolate and caramel-like flavors.",Stout
Conehead,5.7,"Our single hop wheat IPA, brewed with all Citra hops. Lighter in color and lower in a.b.v. than a typical American IPA, this beer has just the right amount of hop flavor and aroma. Completely satisfyingly awesome in its crispiness and well-rounded hopaliciousness. This beer might just be your Rushmore.",American IPA
Country Pale Ale,5.1,"Our original brew crafted by Ned, Kevin and Quinny in the early 90's with super drinkability.",American Pale
Crank Tank,5.8,"We cranked the fermentation temps down to a chilly 11 degrees celsius and went with a longer lagering on this Helles prior to filtration. Bright and balanced with the clean and crisp finish of traditional Munich style lagers, Crank Tank is very quaffable after any long ride.",Wheat Ale
Cuvée Jeune Homme,6.5,"An oak-aged bitter beer. Originally the beer had a slight citrus-bitterness due to its 4 hops and the subsequent dry hopping.

The beer is acidified while it ripens for 4 months in oak wine casks.
The daring bitter-sour combination is moderated by this ripening process and as a consequence it is a very pleasant drinking beer.",Wild Beer
CÔTE DE CHAMPLAIN,6.1,"Hop-forward golden ale inspired by the Trappist Brasserie d’Orval. Styrian Goldings and Mandarina Bavaria Hops work with Brettanomyces to create an effervescent, dry and funky Belgian offering.

MALT:
Pilsner, Vienna, CaraRuby, Honey Malt.
HOPS:
Mandarina Bavaria, Styrian Goldings.
YEAST:
Belgian Ale, Brettanomyces.",Specialty
Dale's Pale Ale,6.5,"Dale's Pale Ale is our flagship beer and America's first hand-canned craft beer. It's an assertive but deftly balanced beer (somewhere between an American pale ale and an India Pale Ale) brewed with hefty amounts of European malts and American hops.

It features a merengue-like head, a copper color, and a hoppy nose, thanks to a big post-boil addition of Centennial hops. To complement its hoppy first impression, Dale's also sports a rich middle of malts and hops, and a bracing finish. Dale's is 6.5% alcohol by volume, and features 65 International Bittering Units.

We think of it as the perfect, everyday beer for hopheads like us. Dale's Pale Ale's rich flavor has helped us make many new fans, and its numerous honors have helped us kick huge holes in the misconceptions regarding cans.",American Pale
Dale's Pale Ale Nitro,6.5,"This voluminously hopped mutha delivers a hoppy nose and assertive-but-balanced flavors of pale malts and citrusy floral hops from start to finish. Oskar Blues launched its canning ops in 2002, brewing and hand-canning Dale’s Pale Ale in the Lyons, Colorado, brewpub. America’s first-craft-canned mountain pale is a hearty, critically acclaimed trailblazer that changed the way craft beer fiends perceive portable beer",American Pale
Dank Tank BSP Quad,11.0,"Belgian, Strong, Pause . . . for a moment and let’s consider the Possibilities. Sure, you were thinking Pale but it’s not at all pale. Rather the contrary. The P could stand for Perfect: perfectly befitting a warm respite in front of a fire on a cold February night – but we don’t say chit like that. You’ll probably just drink this Belgian Quad like a session beer and hope for the best in the morning anyway, so screw it. Maybe the P stands for your favorite Pub, the place where you go to hang out, drink killer beer and enjoy life. Yup, that’s the one. The Quad part, well it’s a style for sure, but it could be in reference to a collaboration between a Pub and a Brewhouse that opened in the same year out of friendships and a love for great beer. Yeah, those four things are in here too.",Belgian Quad
Dank Tank Ghoulash,8.5,"Alone and cold on a frigid fall night, the evil Dr. Dank’s stomach rumbled. It had been days since devouring the last of his trannies and platypuseses. Desperate, he wandered into his kitchen only to find a 3-eyed rat, yellow toenails, and an old bean burrito. Always resourceful, Dr. Dank remembered his great, great, bouffalata, granny goose’s Ghoulash recipe.  Try as he might, he couldn’t get it right, so he dumped everything he could find from the fridge and cupboard into one giant boiling brew, resulting in this stew of 2-row, black wheat, munich malt and a 14-hop variety asplifidation of Willamette, Galena, Mt. Hood, Nugget, Perle, Aroma, Bobek, Aurora, Styrian, Golding, Magnum, Columbus, Summit, Millennium, and Crystal.

Sloppy seconds never tasted so ghood!",Imperial IPA
Dank Tank Old Man Johnson's Farm,9.6,"Intense aromas of roasted coffee and chocolate from the malt bill are balanced by a subtle hop accompaniment. A purple rain of fresh raspberries added during fermentation complement the dark chocolate with a tasty sweetness. Dust off your beret, put her on the back of your bike, and take a ride down by Old Man’s Johnson’s Farm.",American Imperial Stout
Dank Tank Pulled Porter,7.7,"Welcome back to the Dank Tank Series! This brew features rich and smokey bacon notes, wrapped in a medium-full body and a relatively high ABV.",Brown Porter
Dank Tank The Price is Wrong,9.0,"Workin’ as a caddy at Bushwood, El Danko was stoked to ﬁnd out he would be shouldering Boob Barker’s bag. Figuring Boob was a swell guy who liked to have fun, El Danko slipped an exploding golf ball onto the ﬁrst tee. Boob was so enraged after the ball blew, he threw a haymaker at El Danko and broke his high heel. Fearing a big lawsuit and being hammered in the tabloids, Boob offered him a rigged spot on the Price is Wrong to keep him quiet. Sure enough, down in Studio City 42 days later, Rod Roddy bellowed out to El Danko “C’mon down!” He was ecstatic as they wheeled out some fancy leather chaps and some extra crisping hair mousse, which he just purchased last week. Bidding $420 on the lot, El Danko nailed it! With a kiss from Barker ’s Beauties as the bonus, he strutted on stage and with a wink he gave a slap on the ass to Boob Barker himself. On to the big prize, El Danko was confronted with the infamous Cliff Hanger climb! Just as the yodeler was about to cliff dive off the ledge, he came to a screeching halt. The Dankster had pulled it off, winning the prize behind Door #2: Pimpin’ high heels and some private time behind Curtain #3 with Ester-y, the Belgian Barker Beauty, who 9 months later delivered the biggest surprise of all! Blam!!! El Danko is a dad living in Belgium. Jobless, he got a gig at Ester-y’s family brewery to pay for his Price is Wrong love child, Bar nold Schwarzenkegger. The Boob Barker Belgian Behemoth Boogieboy. Benjoy!",Belgian Dark Strong
Dark Swan,8.7,"An experimentally hopped sour ale fermented with dark red wine grapes.

Observers of yestercentury once doubted the existence of the Dark Swan, stating the fair-feathered fowl was the only color of its kind. Explorers eventually upended that theory, shocking the world and shining light on the Dark. This beer might just do the same. It’s a sour ale fermented with dark red wine grapes, giving it its uniquely deep and rich purple hue. Then it received the signature Lagunitas treatment with a healthy dose of experimental dry hops. This might just shock your taste buds!",Sour
Das Bij,5.6,"We use local honey and thyme
 to give the brew a dry, herbal quality that compliments the
 noble hops. With a light, champagne-like body, it’s the perfect way to close
 out the long dog days of summer.",Saison
Davey Murray's Best Scotch Ale,9.5,"This Scotch Ale is sweet, but not cloying. It's strong, but not brash. It's smooth and smokey, like a good dram among friends. Cheers!

""O gude ale comes and gude ale goes; Gude ale gars me sell my hose,  Sell my hose, and pawn my shoon- Gude ale keeps my heart aboon!"" Cheers to the great Bard of Ayrshire for this ale’s epitaph: There is a beer, whose clarity’s clear, can teach the mash paddle to steer, and fuels the brewer's mad career. This ale within is fine to brew and quick to know, and keenly felt by the friendly glow, and softer flame, of the heartful jolly soul that wears this name. Beer-lover, attend! Whether thy soul soars in fancy’s flight, or on this earthly whole in low pursuit, know water, barley, hops, and yeast are Davey Murray’s root.",Scotch Ale
DayTime Ale,4.65,"A Fractional IPA. 
Sometimes you want a beer, then you realize how much crap you need to do before you call it a day. This is it. Nicely dosed with Big, Round Hop Flavors and a Toasty Malt Foundation to satisfy your every need. But it still lets you stay in the game to do what needs to be done. Yup.",Session IPA
De Achste Hond Peach Sour,7.0,"Laughing Dogs Take on a sour Fruit Beer.  Lightly Tart with a huge Peach nose, a hint of oak and a champagne like finish",Sour
Death By Coconut,6.5,Death By Coconut is an Irish porter aged on dessicated coconut and dark chocolate from Robin Chocolates in Longmont.,Brown Porter
DevESTATEtion,6.7,"When the going gets bad, we make great beer.

It’s a shame when good barley goes bad. This spring, the combined effect of double digit sustained winds and concentrated rainfall created major stress on the normal course of our barley maturation — our crop went down for the count. Instead of crying in our beer—or lack thereof—we decided to do one better and make something new. Featuring organic malts and our estate-grown wet hops, this black IPA is the evil twin of our legendary Estate Ale. Black in color with a mild roasty flavor and moderate body, this beer has a bold citrusy and earthy hop flavor and aroma from the use of our own wet hops. We’d never let one bad harvest get in the way of a great beer, so join us in a toast to the memory of our devastating season.",Black Ale
Deviant Dale’s,8.0,"Deviant Dale’s IPA was born at the crossroads, in a juke joint, as if Dale’s Pale Ale sold its soul to balance Deviant’s foreboding aromas of citrus, grapefruit rind and piney resins with a copper ball-of-fire color and inscrutable finish. The 2011 GABF Silver Medal Winner (American IPA Category) is the Devil incarnate with untold amounts of malt and hedonistic Columbus dry-hopping. Oskar Blues’ southern spirit caught a northbound blues bus to ColoRADo to deliver the boundary bustin’ brewery’s first 16 oz. tallboy can.",American IPA
Devil Dog Imperial IPA,10.8,An all out assault on the senses. Devil Dog is an Imperial IPA with a floral / citrus hop aroma and flavor. This beer ages well and will take on some barley wine characteristics with time.,Imperial IPA
Dire Wolf,6.2,"The Dire Wolf encorporates five additions of both Simcoe and Amarillo hops. Each addition was carefully planned to createoptimal bitterness and a strong, fresh aroma of grapefruit and pine. We paired these hops with an extremely pleasent malt flavor makes this a giant amongst IPAs.",American IPA
DogZilla Black IPA,6.9,Laughing Dog Dogzilla Black IPA is a true Northwest IPA with a big hop presence and a dark malt twist in the finish. 68.4IBU.  The black IPA style is something new but this beer from Laughing Dog a standout that has to be tasted to be appreciated.,American IPA
Dogs of Helles,4.0,"A crisp and refreshing light lager. 
Predominantly pale malt leaves little residual sweetness.
It uses corn as a subtle flavor enhancer, and gives the beer a smooth character.",Maibock
Doppel Weizen,8.5,A Brand-Spankin' New Beer Inspired by Rolec: The Builders of our New Brewing System. They Sent Us a Traditional Yeast Sent From Their Friends in Bavaria & We Way-Overfed It To Take It All Up A Bit!,Hefeweizen
Double Latte - Beer Camp Across America,7.6,"Inspired by the perennial café favorite, Double Latte combines two of the greatest things in life: good coffee and great beer. Oregon’s Ninkasi Brewing knows their way around a good cup of joe. Featuring cold-press coffee from the legendary Stumptown Coffee Roasters and a dose of milk sugar, this coffee milk stout is a rich and roasty treat.

This young-gun brewery has a locomotive charge. A rich conversation at a local bottle shop in 2005 has morphed into a Pacific Northwest staple. Named after the Sumerian goddess of fermentation, Ninkasi’s first batch of beer was Total Domination IPA and it remains a must for those with a lupulin itch.",Sweet Stout
Dragon's Milk,11.0,"A barrel-aged, strong-ale with a soft and rich caramel-malt character intermingled with deep vanilla tones dancing in an oak bath. Unmistakably distinctive and hauntingly remarkable, Dragon's Milk's warming complexity pairs well with smoked meats and cheeses, red meat, or a nice cigar.",American Imperial Stout
Dragon's Milk Reserve Coconut Rum,11.0,"Coconut complements the roasted chocolate flavor of Dragon's Milk, coaxing flavors that are reminiscent of lazy summer days. Rum barrels add a tropical character.",American Imperial Stout
Dragon's Milk Reserve Mexican Spice Cake,11.0,"Aged in bourbon barrels for three months, with toasted chiles, cocoa nibs, vanilla, and cinnamon added during aging.",American Imperial Stout
Dragon's Milk Reserve Vanilla Chai,11.0,"Combines robust malt character with the luxurious nuance of sweet Chai. Aged in white-oak bourbon barrels, Vanilla Chai Dragon’s Milk is a concert of luscious flavors.",American Imperial Stout
Dragon's Milk Reserve: Cherry Chocolate,11.0,"Dragon's Milk Reserve Cherry Chocolate brings two classic flavors together, chocolate notes paired perfectly with the tartness of cherry will delight your senses.",American Imperial Stout
Dragon's Milk Reserve: Mexican Spice Cake,11.0,"Looking for a sweeter, less hoppy beer? Vanilla, cinnamon, cocoa nibs and chili peppers and sweet complexity to this brew, with a grist of two row, black prinz, dark Munich and chocolate malts. Nugget, Willamette and Brewer’s Gold add flavor and aroma with little to no bitterness. It was aged for three months in bourbon barrel for an added kick of sweet vanilla flavor.",American Imperial Stout
Dragon's Milk Reserve: Raspberry Lemon,11.0,"This reserve blend is aged in bourbon barrels for three months, with Michigan raspberries and lemon zest added during aging.",BBL Aged Dark
Dragon’s Milk Reserve with Raspberries,11.0,"This beer is from our collection of special variations that live in our Dragon’s Milk cellar. Local raspberries were added to the barrels in the final stages of conditioning. Raspberries lend depth, brightness and unique fruit character that harmonizes beautifully with Dragon’s Milk dark, roasty tones of malt, bourbon and oak.",BBL Aged Dark
Dragon’s Milk Reserve: Banana Coconut,11.0,Dragon’s Milk Reserve Banana Coconut is an 11 percent ABV imperial stout brewed with real banana and “natural flavors” before being aged in bourbon barrels.,American Imperial Stout
Dry Irish Stout,4.8,Jet black and true to style 100% Maris otter base malt and an English ale yeast bring complexity to an otherwise simple yet traditional grain bill toasty yet dry and drinkable.,American Stout
Dry-Hopped Censored Ale,6.7,"Malty, Roasty, and Deceptively Smooth… This Amber-esque ale gets more of a cocoa-toasty flavor from the use of chocolate malts.",Specialty
Dubbel,7.4,"Made with Belgian malt, wheat, dark candi sugar and East Kent Goldings hops. Dark amber with fruity esters and great malt complexity.",Belgian Dubbel
Dude of York,4.5,"A light English-Style ale that showcases Maris Otter malt, Bramling Cross hops, and English ale yeast.  Only the water is not imported.",Bitter
ESB,5.5,This ESB holds to its British roots. The British sweet cracker malt and bready yeast flavors are well balanced with the earthy/spicy hop profile of this beer.,ESB
ESB - Early Spring Beer,5.9,"From the Sierra Nevada Brewing Co. website:
Our ESB combines the best of English tradition with West Coast style. A blend of malts featuring British-grown Maris Otter is balanced with the earthy spiciness of hand-selected English and US hops. The ale is left unfiltered, which enhances mouthfeel and hop aroma creating a slightly reddish-copper hue",American Pale
EXPERIMENTAL HOP PILSNER,5.5,"We got access to two new hops that could change the way we think about adding hop flavor to pilsners. These hops, Nug-033 and Steiner 04190, reflect some of herbal and spicy character of their European predecessors, but with a new twist. Notes of lemongrass and citrus are balanced by a slight honey flavor and a smooth, chamomile-like hop aroma.",American Pilsener
El Mole Ocho,10.0,"Our exploration into the flavors of mole, the legendary sauce of central Mexico. Malty aroma and rich, cocoa-laden body laced with an invigorating tinge of dries chilies and coffee.",Spice Beer
Electric Ray,8.5,"Electric Ray is an IPL—Imperial Pale Lager—combining intense citrusy and floral American hop aroma with the clean, crisp, classic malt body of a robust blonde lager. It is both traditionally dry-hopped AND torpedoed with whole-cone American hops for an intense grapefruit and rose-like nose.",Imperial IPA
Electric Ray - Beer Camp Across America,8.5,"As ever, San Diego’s Ballast Point looked to the sea for the inspiration behind Electric Ray. A play on the fish’s scientific name—Torpedo californica—this beer pays homage to our mutual home state, as well as to our Hop Torpedo, the source of much of the big flavor in this high voltage, hop-forward Imperial Pale Lager.

Ballast Point brought their homebrewing dreams to the big leagues and started brewing professionally, but they never forgot their roots. They still run a successful homebrewing supply shop in San Diego.  A love for hops and the ocean inspire incredible brewed and distilled offerings, and their one-of-a-kind labels boast some beautiful, and sometimes gnarly-lookin’, fish.",American Premium Lager
Envious,7.5,"Michigan pears fuel a second fermentation, providing subtle nuance between grain & fruit. A slumber on oak and local raspberries adds depth and tartness.",Fruit Beer
Equinox,8.4,"A creamy, pale oat ale hopped up with a huge charge of Equinox and Simcoe hops for a piney, eucalyptus, cedar, sprucey, forest blast. First brewed in 1995... brewed today in a time of change.",American Pale
Eroica,7.4,"A Lagunitas-ified verson of a traditional Flemish Farmhouse ale.
This is a Lagunitas-ified version of a traditional Flemish Farmouse ale, aged in red wine oak barrels and funkied up with Brettanomyces yeast. It’s a golden saison-sour with a nice tartness that leaves your buds quenched and wanting more. Proost!",Saison
Estate Ale,6.7,"Here in the sun-drenched fields of California’s North Valley, the black soil is rich with promise.
In winter, rows of barley seed are laid in the freshly tilled dirt. In spring, trellises are set for hops.

From our fields comes a remarkable homegrown ale, made with organic wet hops and barley grown at our brewery here in Chico and one of the few estate-made ales produced anywhere in the world!

This Estate Ale is rich with the flavors of the valley—featuring hops with earthy, grapefruit-like flavors and layered spicy aromas and barley with mild sweetness and smooth, toasted flavors. Together, these crops grow alongside the brewery to make a truly unique brew.",Specialty
Existential,11.1,"Consider it an extremely hoppy barleywine, or a really big IPA. Either way, ten hop additions contribute to its lush and intriguing body. Aggressive dry-hopping brings a strong citrus character to the aroma. The flavor and smell of orange-blossoms pervade throughout the experience.",American Barleywine
Experimental Hop Session IPA,4.6,"Light-bodied IPAs are the perfect beers to showcase new and unique hops, and this beer doesn't shy away from bold hop flavor. This beer features two new hops, HBC 438 and HBC 520,which add notes of bright lemon, coconut and fresh-cut herbs in this light snappy session IPA.",Session IPA
Extra Stout,5.3,Complex black-hued ale with the characteristics of chocolate and coffee. One step up from a dry stout. One more reason to love Van “The Man” Morrison.,Dry Irish Stout
Family Values,8.5,Imperial Brown Ale With Cocoa,American Brown
Fandom Ale Fusion XXXIX,5.5,Buffalo Wild Wings exclusive,Wheat Ale
Farmhouse Hatter,5.07,"Farmhouse Ales were originally brewed as “Provision Beers” by farmers in Belgium and France, brewed in the winter months to be consumed during hot summer work days. They were traditionally brewed light and refreshing to aid in both hydration and energy. Wheat and Pilsner malts were used to lighten up the body of this Mad Hatter version. It was also fermented hot with a strain of Belgian Saison yeast to develop flavors of green apple, pepper and fresh cut hay. Brewed for Hatter Days!",Belgian Pale
Fils À Papa V,8.5,Oak Aged on Bruichladdich whisky casks.,Belgian Tripel
Filthy Pumpkin,7.75,Ichabod Pumpkin ale + Dragon's Milk Bourbon Barrel Stout ; 1/2 n 1/2. Deep Dark mildly pumpkin sweet stout! Nice! On tap!,American Imperial Stout
Five Hop - Experimental IPA,5.8,"Our quest for unique hop flavor led us to the Yakima Valley to explore a mix of vintage and newly developed hop varietals – so so cutting edge they are known only by numbers. This blend creates compelling flavors of vanilla, cedar, coconut, and orange for an IPA like we’ve never tasted before.",American IPA
Flipside Red IPA,6.2,"A hop-forward fix for the first days of fall

Just when it feels like the dog days will never end, suddenly, the switch is flipped, the air gets cooler and it’s clear that autumn is on the way. Featuring a ruby-red hue and abundant tropical fruit and citrus hop flavors, Flipside Red IPA is the perfect beer for the final flash of summer.",Amber
Floral IPA - Beer Camp #53,5.9,"This unique take on the traditional IPA style pairs with bold and intense aromas of whole-cone hop ""flowers"" with aromatic natural rose hips and petals for complex aromas and unexpected flavors.",American IPA
Foreign Extra Stout (Ghana),7.5,"FES mix blended with local sorghum lager.  Unlike the Nigerian, it contains no wheat and has a higher proportion of roast barley.",British Imperial Stout
Four Witches ,7.3,"As we kick off our Summer seasonal, Golden Cap saison, we’re excited to roll out a single-batch seasonal, “Four Witches” black saison. It’s an opportunity to explore flavor within a remarkably interpretive style. Saisons are intriguing beers as they have traditional roots, yet are a delicious forum for variation and development.  

The Four Witches art, illustrated by Kyle Bice, develops on Golden Cap’s theme, with a nod to Wizard of Oz, as L. Frank Baum wrote the book while summering in Holland, MI.  White and dark roasted wheat provide deceptively delicious body, and a playful reference to Oz’s contrast between good and wicked witches. Caramel rye and barley continue the story, along with a unique yeast character and mild spicing.",Saison
Fresh Sticky Nugs,8.0,"Wet hop Amarillo, Citra, Simcoe",Imperial IPA
Fugli,5.8,"Yuzu and Ugli fruit infusions twisted together with the blueberry, tangerine notes of Mosaic make for a tangy, juicy, zesty array of aroma and flavor. Salivation will instantly ensue with one sniff of this crushable brew (5.8% ABV, 60 IBUs) that was inspired by a Yuzu brew we made with some brewing friends in Japan.",American IPA
Full Circle,4.9,"A kölsch-style beer, Full Circle is a refreshing celebration of our brewery’s belief in balance. The soft, well-rounded malt character, light hop profile and crisp finish bring us back around to the familiar tastes of classic, thirst quenching beer. A perfect session beer, we recommend Full Circle with fish, grilled vegetables, grilled sausages, and just about anything else served on a patio.",Kölsch
Fumble Brewski,4.5,"Labeled as ""Easy Drinking"" on the Old Chicago American Road Trip Fresh Craft Beers menu.",American Amber Lager
Funkytown,6.0,"Brewed with a Vienna malt base and fermented with Brettanomyces. Soured with lactobacillus in stainless vessels. Conditionned on cherries & raspberries, this beer is fhnky, malty and sour.",Wild Beer
Fusion 17,5.5,"As you already know, this brew was designed as hybrid of WTF and Daytime with elements of Sucks thrown in, I have included a picture of how the brew progressed for those that like O.G.’s and F.G.’s. The gravity of the wort was a little higher than expected, owed to the efficiency of the brewhouse and the Daytime mash profile. Fermentation went very well and the beer finished out in about 3 days, also at a lower F.G. than expected. As a result the alcohol was indeed higher than expected, in fact the lab results just came in and our Brown Ale is 5.5% ABV. We did in fact choose Simcoe and Nelson Sauvin for the dry hop, but we also included two more of our favorites, the elusive and rare Citra and and the ever sexy Mosaic (dry hopped at 1.6 lbs/BBL). After 3 days of extraction, 2 days of cooling, and another 2 days cold stable, the beer was filtered bright last night (July 31st), and packaged this morning (August 1st). The beer is decidedly dry and drinkable, with the impressive bouquet of hop aromas and resinous kettle hop being the main event. Delicate, slightly toasted malts and a spicy rye malt backbone remain subdued, but ever present.Short version:I think as Jeremy put it on the day of recipe formulation: ""An easy drinking, hoppy brown ale.""",American Brown
Fusion 18,10.0,AN ÜBER-HOPPY IMPERIAL OATWINE,American Barleywine
Fusion 21,4.7,Session amber ale.,American IPA
Fusion 48,8.3,"This beer is a HUGE un-freakin'-filtered Oat-and-Wheat-mashed, hop-blasted Double IPA. We double dry-hopped this beast with some Loral 291, Hallertau Blanc, Citra and Galaxy hops for that extra double punch.",American IPA
Fuzzworthy,5.9,American IPA with peaches,American IPA
G'Afternoon,6.0,Specialty version of G’Knight.,American IPA
G'Knight,8.7,"This beer was previously know as Gordon.

Gordon is a hybrid version of strong ale, somewhere between an Imperial Red and a Double IPA. We make it with six different malts and three types of hops, then dry-hop it with a mutha lode of Amarillo hops.

It features a gooey, resiny aroma and a luscious mouthfeel. Gordon is brewed with dash of chocolate malt in it, to round out its load of hops and balance the beer. The result is an assertive yet exceptionally smooth version of strong beer.

We brew Gordon in tribute to the late Gordon Knight. In addition to opening some of Colorado's first microbreweries, Knight was a Vietnam vet, grade-A citizen, and huge promoter of craft beer. He lost his life in 2002 while fighting a wild fire outside of Lyons, Colorado.

Originally our winter seasonal beer, it has become a cult favorite of extreme-beer lovers, so we now brew occasional batches of Gordon throughout the year. Released in bottles in 2003 and 2004, Gordon is now sold in four packs of hand-labeled cans and on draft in select markets.",Imperial IPA
G'Knight Imperial Red IPA,8.7,"Our ’Velvet M-80’ is a hefty, dry hopped double-red ipa with a nose full of aroma, a sticky mouthfeel, a malty middle and unctuous hop flavors. G’Knight sports a surprisingly sensuous finish for a beer of its size (8.7% ABV, 60 IBUs). It’s brewed in tribute to a fellow Colorado craft beer pioneer and Vietnam vet who died fighting a 2002 wild fire outside of our Lyons hometown. For all the details behind this tribute follow this link to www.N3978Y.com. G’Mornin’.  G’Day.  G’Knight.",Strong Ale
Georgia Brown,5.8,"An American Brown Ale, deep copper-colored, mild malt. Designed to be a session beer, it has a real smooth finish without a huge hop character. Smoother than a Bill Clinton apology! 

Gold - Brown Ales Great American Beer Festival

Hops: Columbus, Willamette
Grains: 2 Row, 70/80, Carapils, Victory, Chocolate",American Brown
Gingerbread Old Chub,8.0,Old Chub with gingerbread spices.,Scottish Heavy
Glissade Golden Bock,6.4,"As winter begins its slide toward the sunny days of spring, we bring you Glissade Golden Bock to help you enjoy the ride. Glissade is a remarkably mellow take on the traditional spring bock.

With restrained sweetness, we emphasize subtle malt flavor, balanced against delicate aromas of spicy and floral European hops. This complex balance helps Glissade slide across the palate—bracing us against the last cold nights of winter, while its bright golden color turns our thoughts toward spring.",Maibock
GnarlyWine,10.6,The Annual release of our BarleyWine... This is Surely Not a Beer for the Designated Driver.,American Barleywine
Goin' Coastal,6.1,"Slide into summer and step off the grid by Goin’ Coastal with this pineapple laced IPA. The bright aromas of the five citrus hop additions are accentuated by the tropical fruit of the pineapple- and just like those three day weekends, its finish is quick.",American IPA
Golden Cap Saison Ale,6.25,"Golden Cap Saison is a modern interpretation of a traditional farmhouse ale. A soft, pale beer, Golden Cap embodies the flavors and aromas of summer fields. Brewed with an ancestor of wheat called spelt, its straw-colored embodies the flavors and aromas of summer fields. Brewed with an ancestor of wheat called spelt, its straw-colored body, lively carbonation and a unique fermentation profile evoke fresh cut hay and cracked peppercorn.",Saison
Golden IPA,5.9,"We’ve always had a passion for hops, but in today’s hop-heavy beer landscape it’s easy to forget where that passion came from. In the early days, one variety changed everything—the Cascade hop. It captured us then, and the flavor is still gripping: floral and grassy with a pronounced resinous pine and grapefruit aroma. Our Golden IPA pays homage to the mighty Cascade and wonderful world of hop flavor it inspired.",American IPA
Goofer Dust,6.1,"A super-smooth pale with lemon, pine and citrus flavors.",American Pale
Grand Royal,8.3,"Packed to the brim with Galaxy, 007, and Mosaic hops this Double IPA is big, juicy, and completely satisfying. Notes of tropical fruit and pine are supported by a clean malt backbone.",Imperial IPA
Grass Monkey,5.4,"Get sprung this spring with this funky monkey of a wheat ale.  A big stash of Lemondrop hops were added to the kettle and the dry hop, delivering a big citrus blast.  Lemongrass herbs were added for a refreshing twist and exotic aroma.  The light malt bill lets the piney, grassy, lemony notes shine.  Light in body with bright citrus notes, this is an extremely complex but very easy drinking brew.",Wheat Ale
Green Monsta IPA,7.3,"An All-American yeast teams up with Cascade, Amarillo and Centennial for a homerun of hops in every sip.",American IPA
Green State Lager,4.9,"Similar to a Bohemian or Czech Pils, but adapted to the brewing conditions in Germany, producing a drier and crisper beer. Hops are present but allow the malt to shine. Get to the Green State.",American Pilsener
Green Valley Wild Hop Lager,5.0,"Wild Hop Lager is unique and distinctive. It is made one batch at a time. It does not use any genetically modified products, pesticides or commercial fertilizers. Wild Hop Lager is made from 100% organic barley malt, certified by the USDA and the organic organization Oregon tilth.",American Premium Lager
Grizzly Imperial Pale Ale,8.1,Juicy hop flavors perfectly balanced with a rich malt backbone for a hop forward mountain mans (or lady’s) delight.,American IPA
Ground Score,7.1,"We’ve teamed up with Relix and Kyle Hollingsworth to bring you a haze-bomb of a brew: Ground Score IPA. This bad boy’s packed with El Dorado, Citra, Amarillo, and Idaho 7 hops that will sure hit your tastebuds with a hell of a lot of flavor. At a 7.1% ABV, Ground Score IPA is big, bold, and drinkable beer. Our head brewer Nick Nock describes the color as “a sunset right before the big flash,” attributing it to the malt bill of 2 Row, flaked wheat and English Premium malts. The flaked wheat gives Ground Score its blurred clarity and a nice frothy head, while the English Premium adds a slight sweetness of orange blossom honey.",American Pale
Gubna,10.0,"Emphasizing that complexity of character can arise from simple elements, this ale is made with three malts and one hop. Its light amber color and slightly spicy malt character are derived from the use of German Dark Munich Malt and Rye Malt respectively. North American 2-row barley combines with the other grains to lay the foundation for the hop onslaught to come. Summit hops are used exclusively in the boil for bitterness, flavor and aroma but it doesnÃ¢â?¬â?¢t end there. Post-fermentation dry hopping allows the 9.5% ABV monstrosity to gently coax the citrus rind and grapefruit aroma to join the 100 IBUs already present. This beer should greet you with a pungent citrus blast, provide a spicy yet round middle and finish with a brisk, clean bitterness.",Imperial IPA
